1;Москва;4930,57;12380664;2511;ЦФО
2;Санкт-Петербург;3764,49;5281579;1403;СЗФО
3;Севастополь;496,24;428753;864;ЮФО
4;Московская область;167,27;7423470;44379;ЦФО
5;Республика Ингушетия;132,43;480474;3628;СКФО
6;Чеченская Республика;90,42;1414865;15647;СКФО
7;Республика Северная Осетия — Алания;88,05;703262;7987;СКФО
8;Краснодарский край;73,80;5570945;75485;ЮФО
9;Республика Крым;73,32;1912168;26081;ЮФО
10;Кабардино-Балкарская Республика;69,32;864454;12470;СКФО
11;Чувашская Республика;67,38;1235863;18343;ПФО
12;Калининградская область;65,21;986261;15125;СЗФО
13;Республика Дагестан;60,51;3041900;50270;СКФО
14;Самарская область;59,81;3203679;53565;ПФО
15;Тульская область;58,39;1499417;25679;ЦФО
16;Республика Адыгея;58,18;453366;7792;ЮФО
17;Республика Татарстан;57,26;3885253;67847;ПФО
18;Белгородская область;57,23;1552865;27134;ЦФО
19;Липецкая область;48,08;1156221;24047;ЦФО
20;Владимирская область;47,78;1389599;29084;ЦФО
21;Ивановская область;47,73;1023170;21437;ЦФО
22;Воронежская область;44,73;2335408;52216;ЦФО
23;Ставропольский край;42,39;2804383;66160;СКФО
24;Нижегородская область;42,39;3247713;76624;ПФО
25;Ростовская область;41,91;4231355;100967;ЮФО
26;Челябинская область;39,56;3502323;88529;УФО
27;Курская область;37,43;1122893;29997;ЦФО
28;Удмуртская Республика;36,06;1516826;42061;ПФО
29;Ярославская область;35,13;1270736;36177;ЦФО
30;Брянская область;35,02;1220530;34857;ЦФО
31;Калужская область;34,07;1014570;29777;ЦФО
32;Ульяновская область;33,70;1252887;37181;ПФО
33;Карачаево-Черкесская Республика;32,67;466432;14277;СКФО
34;Республика Мордовия;30,95;808541;26128;ПФО
35;Пензенская область;30,94;1341526;43352;ПФО
36;Орловская область;30,62;754816;24652;ЦФО
37;Тамбовская область;30,19;1040327;34462;ЦФО
38;Республика Марий Эл;29,29;684684;23375;ПФО
39;Республика Башкортостан;28,45;4066972;142947;ПФО
40;Рязанская область;28,45;1126739;39605;ЦФО
41;Кемеровская область;28,30;2708844;95725;СФО
42;Саратовская область;24,49;2479260;101240;ПФО
43;Волгоградская область;22,46;2535202;112877;ЮФО
44;Свердловская область;22,28;4329341;194307;УФО
45;Ленинградская область;21,36;1791916;83908;СЗФО
46;Астраханская область;20,78;1018866;49024;ЮФО
47;Смоленская область;19,15;953201;49779;ЦФО
48;Пермский край;16,43;2632097;160236;ПФО
49;Оренбургская область;16,08;1989589;123702;ПФО
50;Новосибирская область;15,64;2779555;177756;СФО
51;Тверская область;15,40;1296799;84201;ЦФО
52;Алтайский край;14,08;2365680;167996;СФО
53;Омская область;13,98;1972682;141140;СФО
54;Курганская область;11,95;854109;71488;УФО
55;Приморский край;11,68;1923116;164673;ДВФО
56;Псковская область;11,59;642164;55399;СЗФО
57;Новгородская область;11,24;612522;54501;СЗФО
58;Костромская область;10,76;648157;60211;ЦФО
59;Кировская область;10,73;1291684;120374;ПФО
60;Тюменская область;9,23;1477903;160122;УФО
60;Республика Хакасия;8,73;537668;61569;СФО
61;Вологодская область;8,19;1183860;144527;СЗФО
62;Сахалинская область;5,60;487344;87101;ДВФО
63;Мурманская область;5,23;757621;144902;СЗФО
64;Еврейская автономная область;4,53;164217;36266;ДВФО
65;Республика Калмыкия;3,72;277803;74731;ЮФО
66;Республика Карелия;3,47;627083;180520;СЗФО
67;Томская область;3,43;1078891;314391;СФО
68;Иркутская область;3,11;2408901;774846;СФО
69;Ханты-Мансийский автономный округ — Югра;3,08;1646078;534801;УФО
70;Республика Бурятия;2,80;984134;351334;СФО
71;Архангельская область;2,72;1121813;413103;СЗФО
71;Тюменская область;2,50;3660030;1464173;УФО
72;Забайкальский край;2,50;1078983;431892;СФО
73;Республика Алтай;2,34;217007;92903;СФО
74;Амурская область;2,22;801752;361913;ДВФО
75;Республика Коми;2,04;850554;416774;СЗФО
76;Архангельская область;1,98;1165750;589913;СЗФО
77;Республика Тыва;1,89;318550;168604;СФО
78;Хабаровский край;1,69;1333294;787633;ДВФО
79;Красноярский край;1,21;2875301;2366797;СФО
80;Ямало-Ненецкий автономный округ;0,70;536049;769250;УФО
81;Камчатский край;0,68;314729;464275;ДВФО
82;Магаданская область;0,31;145570;462464;ДВФО
83;Республика Саха;0,31;962835;3083523;ДВФО
84;Ненецкий автономный округ;0,25;43937;176810;СЗФО
85;Чукотский автономный округ;0,07;49822;721481;ДВФО
